sentence1,sentence2,similarity_score
"['woman', 'peel', 'potato']","['mujer', 'pela', 'patata']",5.0
"['boy', 'fell', 'bike']","['chico', 'cayó', 'bicicleta']",4.8
"['woman', 'play', 'flute']","['mujer', 'tocando', 'flauta']",5.0
"['rabbit', 'run', 'eagl']","['conejo', 'huyendo', 'águila']",4.2
"['woman', 'fri', 'bread', 'pork', 'chop']","['mujer', 'friendo', 'chuleta', 'cerdo', 'empanizada']",4.2
"['girl', 'fli', 'kite']","['chica', 'volando', 'cometa']",4.0
"['man', 'ride', 'mechan', 'bull']","['hombr', 'montando', 'toro', 'mecánico']",4.0
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",4.909
"['woman', 'danc', 'sing', 'woman']","['mujer', 'bailando', 'cantando', 'mujer']",3.0
"['man', 'slice', 'bun']","['hombr', 'cortando', 'bollo']",2.4
"['man', 'pour', 'oil', 'pan']","['hombr', 'vertiendo', 'aceit', 'cacerola']",4.2
"['lion', 'play', 'peopl']","['león', 'jugando', 'gent']",3.4
"['dog', 'ride', 'skateboard']","['perro', 'monta', 'monopatín']",5.0
"['someon', 'carv', 'statu']","['alguien', 'tallando', 'estatua']",3.75
"['woman', 'slice', 'onion']","['mujer', 'cortando', 'cebolla']",2.75
"['woman', 'peel', 'shrimp']","['mujer', 'pela', 'camaron']",5.0
"['woman', 'fri', 'fish']","['mujer', 'friendo', 'pescado']",4.0
"['woman', 'play', 'electr', 'guitar']","['mujer', 'tocando', 'guitarra', 'eléctrica']",3.6
"['babi', 'tiger', 'play', 'ball']","['tigr', 'bebé', 'jugando', 'pelota']",1.6
"['person', 'slice', 'tomato']","['persona', 'cortando', 'tomat']",1.75
"['person', 'cut', 'onion']","['persona', 'corta', 'cebolla']",5.0
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",1.0
"['woman', 'play', 'flute']","['mujer', 'tocando', 'flauta']",1.0
"['man', 'cut', 'potato']","['hombr', 'cortando', 'patata']",2.375
"['kid', 'play', 'guitar']","['niño', 'tocando', 'guitarra']",3.8
"['boy', 'play', 'guitar']","['chico', 'tocando', 'guitarra']",3.2
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.2
"['littl', 'boy', 'play', 'keyboard']","['niño', 'pequeño', 'tocando', 'teclado']",4.4
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.75
"['dog', 'lick', 'babi']","['perro', 'lame', 'bebé']",4.75
"['woman', 'slice', 'onion']","['mujer', 'cortando', 'cebolla']",3.2
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",1.556
"['woman', 'slice', 'pepper']","['mujer', 'cortando', 'pimiento']",3.938
"['man', 'play', 'drum']","['hombr', 'tocando', 'batería']",5.0
"['woman', 'ride', 'hors']","['mujer', 'monta', 'caballo']",5.0
"['man', 'eat', 'banana', 'tree']","['hombr', 'comiendo', 'plátano', 'junto', 'árbol']",4.0
"['cat', 'play', 'key', 'board']","['gato', 'jugando', 'teclado']",1.6
"['man', 'chop', 'tree', 'axe']","['hombr', 'corta', 'árbol', 'hacha']",4.75
"['kid', 'play', 'toy', 'phone']","['niño', 'juega', 'teléfono', 'juguet']",3.5
"['man', 'ride', 'motorcycl']","['hombr', 'montando', 'motocicleta']",1.4
"['man', 'ride', 'motorcycl']","['hombr', 'montando', 'motocicleta']",1.4
"['squirrel', 'spin', 'around', 'circl']","['ardilla', 'girando', 'círculo']",4.0
"['man', 'woman', 'kiss']","['hombr', 'mujer', 'besando']",5.0
"['man', 'get', 'car']","['hombr', 'subiendo', 'coch']",3.833
"['man', 'danc']","['hombr', 'bailando']",0.6
"['man', 'play', 'guitar', 'sing']","['hombr', 'tocando', 'guitarra', 'cantando']",2.917
"['person', 'cut', 'mushroom']","['persona', 'cortando', 'hongo']",4.2
"['tiger', 'cub', 'make', 'sound']","['cachorro', 'tigr', 'haciendo', 'sonido']",2.0
"['person', 'slice', 'onion']","['persona', 'cortando', 'cebolla']",2.6
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",1.6
"['woman', 'peel', 'potato']","['mujer', 'pelando', 'patata']",2.0
"['pankda', 'eat', 'bamboo']","['pankda', 'comiendo', 'bambú']",4.2
"['person', 'peel', 'onion']","['persona', 'pelando', 'cebolla']",2.0
"['monkey', 'push', 'anoth', 'monkey']","['mono', 'empuja', 'mono']",4.8
"['squirrel', 'run', 'around', 'circl']","['ardilla', 'corr', 'círculo']",4.4
"['man', 'tie', 'shoe']","['hombr', 'atando', 'zapato']",5.0
"['boy', 'sing', 'play', 'piano']","['niño', 'cantando', 'tocando', 'piano']",3.0
"['dog', 'eat', 'water', 'melon']","['perro', 'comiendo', 'sandía']",4.25
"['woman', 'chop', 'broccoli']","['mujer', 'cortando', 'brócoli']",4.25
"['man', 'peel', 'potato']","['hombr', 'pelando', 'patata']",3.8
"['woman', 'play', 'guitar']","['mujer', 'tocando', 'guitarra']",2.4
"['woman', 'slice', 'tomato']","['mujer', 'cortando', 'tomat']",1.6
"['man', 'swim', 'underwat']","['hombr', 'bajo', 'agua']",2.0
"['man', 'woman', 'talk']","['hombr', 'mujer', 'hablando']",1.6
"['small', 'dog', 'chase', 'yoga', 'ball']","['pequeño', 'perro', 'persiguiendo', 'pelota', 'yoga']",4.0
"['men', 'play', 'cricket']","['hombr', 'jugando', 'cricket']",2.2
"['man', 'ride', 'motorcycl']","['hombr', 'va', 'motocicleta']",4.4
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.6
"['man', 'talk', 'telephon']","['hombr', 'habló', 'teléfono']",3.6
"['man', 'fish']","['hombr', 'pescando']",0.5
"['man', 'levit']","['hombr', 'levitando']",0.8
"['two', 'boy', 'drive']","['do', 'chico', 'conduciendo']",0.6
"['man', 'ride', 'hors']","['hombr', 'montando', 'caballo']",2.6
"['man', 'ride', 'bicycl']","['hombr', 'montando', 'bicicleta']",2.0
"['man', 'slice', 'potato']","['hombr', 'cortando', 'patata']",2.2
"['woman', 'peel', 'potato']","['mujer', 'pelando', 'patata']",2.4
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.6
"['woman', 'slice', 'leek']","['mujer', 'cortando', 'puerro']",2.2
"['man', 'cut', 'paper', 'plate']","['hombr', 'cortó', 'plato', 'papel']",4.8
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",1.643
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",1.75
"['woman', 'slice', 'meat']","['mujer', 'cortando', 'carn']",2.25
"['man', 'play', 'keyboard']","['hombr', 'tocando', 'teclado']",4.0
"['ladi', 'chop', 'green', 'onion']","['señora', 'cortó', 'cebolla', 'verdeo']",4.8
"['someon', 'sitr', 'noodl', 'water']","['alguien', 'sentando', 'fideo', 'agua']",3.2
"['lionel', 'richi', 'danc', 'ceil']","['lionel', 'richi', 'bailando', 'techo']",4.0
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",4.4
"['woman', 'play', 'flute']","['mujer', 'tocando', 'flauta']",4.6
"['boy', 'check', 'calend']","['chico', 'revisando', 'calendario']",3.8
"['woman', 'cut', 'onion']","['mujer', 'cortando', 'cebolla']",4.8
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",4.857
"['woman', 'use', 'sew', 'machin']","['mujer', 'usando', 'máquina', 'coser']",5.0
"['woman', 'flip', 'pancak']","['mujer', 'volteando', 'panquequ']",2.533
"['man', 'run', 'road']","['hombr', 'corriendo', 'carretera']",1.0
"['man', 'ride', 'hors']","['hombr', 'montando', 'caballo']",1.0
"['man', 'ride', 'bike']","['hombr', 'montando', 'bicicleta']",2.0
"['woman', 'danc']","['mujer', 'bailando']",0.143
"['man', 'play', 'piano']","['hombr', 'tocando', 'piano']",2.0
"['man', 'play', 'flute']","['hombr', 'tocando', 'flauta']",1.6
"['man', 'spin']","['hombr', 'girando']",1.6
"['monkey', 'swing', 'limb', 'limb']","['mono', 'balancea', 'miembro', 'miembro']",3.4
"['peopl', 'got', 'train']","['gent', 'bajó', 'tren']",4.0
"['dog', 'jump', 'trampolin']","['perro', 'saltando', 'trampolín']",4.8
"['boy', 'play', 'instrument']","['niño', 'tocando', 'instrumento']",2.5
"['woman', 'play', 'guitar']","['mujer', 'toca', 'guitarra']",1.75
"['woman', 'pick']","['mujer', 'eligiendo', 'lata']",1.0
"['man', 'climb', 'rope']","['hombr', 'escalando', 'cuerda']",5.0
"['man', 'lift', 'car']","['hombr', 'levantando', 'coch']",1.4
"['man', 'woman', 'drive', 'street', 'jeep']","['hombr', 'mujer', 'conduciendo', 'call', 'jeep']",4.0
"['shirtless', 'man', 'sat', 'chair']","['hombr', 'camisa', 'sentó', 'silla']",3.8
"['two', 'woman', 'wrestl']","['do', 'mujer', 'luchando']",4.0
"['puppi', 'play', 'blue', 'tenni', 'ball']","['cachorro', 'jugó', 'pelota', 'teni', 'azul']",4.0
"['kangroo', 'eat', 'someth']","['canguro', 'comiendo']",4.8
"['cat', 'play', 'piano']","['gato', 'tocando', 'piano']",0.6
"['man', 'cut', 'carpet', 'knife']","['hombr', 'cortó', 'alfombra', 'cuchillo']",4.75
"['woman', 'ride', 'motor', 'scooter', 'road']","['mujer', 'va', 'scooter', 'motorizado', 'carretera']",2.2
"['someon', 'slice', 'veget']","['alguien', 'cortando', 'veget']",3.0
"['woman', 'danc']","['mujer', 'bailando']",0.0
"['dog', 'lick', 'babi', 'drool']","['perro', 'lame', 'baba', 'bebé']",2.2
"['man', 'row', 'boat']","['hombr', 'remando', 'bote']",0.4
"['man', 'cut', 'potato']","['hombr', 'corta', 'patata']",4.8
"['woman', 'chop', 'garlic']","['mujer', 'cortando', 'ajo']",4.8
"['anim', 'run', 'circl']","['anim', 'corr', 'círculo']",3.8
"['man', 'walk', 'slowli', 'across', 'rope', 'bridg']","['hombr', 'caminando', 'lentament', 'travé', 'puent', 'cuerda']",3.0
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",4.0
"['man', 'play', 'flute']","['hombr', 'toca', 'flauta']",5.0
"['woman', 'crack', 'two', 'egg', 'glass', 'bowl']","['mujer', 'romp', 'do', 'huevo', 'tazón', 'cristal']",3.8
"['man', 'cut', 'fish']","['hombr', 'cortando', 'pescado']",3.0
"['two', 'men', 'pack', 'suitcas', 'trunk', 'car']","['do', 'hombr', 'empacando', 'maleta', 'maletero', 'auto']",4.4
"['man', 'pour', 'oil', 'tomato']","['hombr', 'viert', 'aceit', 'tomat']",3.8
"['man', 'slice', 'someth']","['hombr', 'cortando']",3.0
"['man', 'paddl', 'cano']","['hombr', 'remando', 'canoa']",0.667
"['man', 'woman', 'walk', 'togeth', 'wood']","['hombr', 'mujer', 'caminando', 'junto', 'bosqu']",4.0
"['woman', 'pick', 'kangaroo']","['mujer', 'recogió', 'canguro']",3.75
"['fish', 'swim']","['pece', 'nadando']",4.133
"['two', 'woman', 'mix', 'someth', 'food', 'processor']","['do', 'mujer', 'mezclan', 'procesador', 'alimento']",4.0
"['person', 'surf', 'larg', 'wave']","['persona', 'surfeando', 'gran', 'ola']",3.6
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",1.2
"['man', 'play', 'flute', 'band']","['hombr', 'tocando', 'flauta', 'banda']",1.6
"['man', 'spread', 'butter', 'loaf', 'bread']","['hombr', 'untó', 'mantequilla', 'barra', 'pan']",4.0
"['person', 'boil', 'noodl']","['persona', 'hirviendo', 'fideo']",4.0
"['group', 'peopl', 'danc', 'hill']","['grupo', 'gent', 'baila', 'colina']",3.2
"['man', 'danc', 'outsid']","['hombr', 'bailando', 'afuera']",1.0
"['woman', 'feed', 'man']","['mujer', 'alimentando', 'hombr']",1.0
"['man', 'put', 'pan', 'oven']","['hombr', 'poniendo', 'cacerola', 'horno']",0.6
"['woman', 'sit', 'desk']","['mujer', 'sentada', 'escritorio']",0.4
"['medic', 'transport', 'patient', 'stretcher']","['médico', 'transportan', 'pacient', 'camilla']",3.4
"['woman', 'play', 'flute', 'stage']","['mujer', 'tocando', 'flauta', 'escenario']",3.6
"['two', 'babi', 'panda', 'play']","['do', 'bebé', 'panda', 'jugando']",3.0
"['babi', 'laugh']","['bebé', 'riendo']",4.0
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",1.2
"['man', 'fold', 'paper']","['hombr', 'doblando', 'papel']",0.6
"['three', 'woman', 'danc']","['tre', 'mujer', 'bailando']",1.6
"['cat', 'play']","['gato', 'jugando']",2.6
"['person', 'write']","['persona', 'escribiendo']",3.6
"['man', 'run']","['hombr', 'corriendo']",3.5
"['woman', 'roll', 'dough']","['mujer', 'enrollando', 'masa']",3.765
"['woman', 'ad', 'spice', 'meat']","['mujer', 'añadiendo', 'especia', 'carn']",2.75
"['woman', 'ad', 'oil', 'fish']","['mujer', 'añadiendo', 'aceit', 'pece']",2.25
"['young', 'boy', 'hold', 'guitar']","['joven', 'sosteniendo', 'guitarra']",2.75
"['cheetah', 'run']","['guepardo', 'corriendo']",3.8
"['man', 'eat', 'pizza']","['hombr', 'comiendo', 'pizza']",4.8
"['orangutan', 'ride', 'bu']","['orangután', 'va', 'autobú']",3.6
"['man', 'woman', 'talk', 'diner']","['hombr', 'mujer', 'hablan', 'restaurant']",1.2
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",0.4
"['girl', 'sing', 'play', 'guitar']","['chica', 'cantando', 'tocando', 'guitarra']",2.4
"['girl', 'commun', 'sign', 'languag']","['chica', 'comunicando', 'lenguaj', 'signo']",3.941
"['woman', 'weight', 'exercis']","['mujer', 'haciendo', 'ejercicio', 'pesa']",0.5
"['man', 'get', 'insid', 'car']","['hombr', 'metiendo', 'coch']",3.75
"['big', 'green', 'ball', 'knock', 'potato']","['gran', 'bola', 'verd', 'derriba', 'patata']",4.0
"['cat', 'play', 'keyboard']","['gato', 'tocando', 'teclado']",3.0
"['two', 'dog', 'swim', 'pool']","['do', 'perro', 'nadan', 'piscina']",4.2
"['man', 'use', 'chopper', 'chop', 'onion']","['hombr', 'usó', 'helicóptero', 'picar', 'cebolla']",2.0
"['woman', 'slice', 'tofu']","['mujer', 'corta', 'tofu']",5.0
"['herd', 'deer', 'cross', 'street']","['manada', 'ciervo', 'cruzando', 'call']",3.0
"['person', 'ride', 'hors']","['persona', 'montando', 'caballo']",3.8
"['someon', 'feed', 'anim']","['alguien', 'alimentando', 'anim']",0.0
"['someon', 'slice', 'tortila']","['alguien', 'cortando', 'tortila']",0.0
"['someon', 'mix', 'ingredi']","['alguien', 'mezclando', 'ingredient']",0.25
"['rooster', 'peck', 'dead', 'mous']","['gallo', 'picotea', 'ratón', 'muerto']",4.0
"['woman', 'hold', 'kangaroo']","['mujer', 'sostien', 'canguro']",3.25
"['man', 'play', 'frog']","['hombr', 'jugando', 'rana']",0.75
"['two', 'men', 'talk']","['do', 'hombr', 'hablando']",1.5
"['man', 'spread', 'butter', 'big', 'piec', 'bread']","['hombr', 'unta', 'mantequilla', 'gran', 'pedazo', 'pan']",3.5
"['man', 'run', 'across', 'high', 'wire']","['hombr', 'corriendo', 'travé', 'cabl', 'alto']",3.0
"['man', 'mow', 'lawn']","['hombr', 'cortando', 'césped']",0.2
"['man', 'open', 'door']","['hombr', 'abriendo', 'puerta']",0.8
"['man', 'slice', 'potato', 'piec']","['hombr', 'cortando', 'patata', 'trozo']",4.2
"['woman', 'cut', 'cook', 'octopu']","['mujer', 'cortando', 'pulpo', 'cocido']",3.8
"['man', 'punch', 'board']","['hombr', 'golpeando', 'travé', 'tabla']",0.4
"['man', 'danc']","['hombr', 'bailando']",0.8
"['someon', 'play', 'piano']","['alguien', 'tocando', 'piano']",1.2
"['two', 'fox', 'eat', 'plate', 'brick', 'patio']","['do', 'zorro', 'comiendo', 'plato', 'patio', 'ladrillo']",2.8
"['boy', 'play', 'keyboard']","['niño', 'jugando', 'teclado']",3.2
"['person', 'play', 'keyboard']","['persona', 'toca', 'teclado']",5.0
"['man', 'shoot', 'gun']","['hombr', 'disparando', 'arma']",0.0
"['someon', 'slice', 'onion']","['alguien', 'cortando', 'cebolla']",1.0
"['man', 'swim']","['hombr', 'nadando']",0.0
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.75
"['woman', 'slice', 'pumpkin']","['mujer', 'cortando', 'calabaza']",0.4
"['woman', 'danc']","['mujer', 'bailando']",0.4
"['woman', 'crack', 'egg', 'bowl']","['mujer', 'rompiendo', 'huevo', 'tazón']",0.6
"['car', 'move', 'road']","['coch', 'moviendo', 'travé', 'carretera']",4.0
"['someon', 'greas', 'pan']","['alguien', 'engrasando', 'sartén']",0.4
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",0.4
"['woman', 'drink', 'vodka']","['mujer', 'bebiendo', 'vodka']",0.4
"['woman', 'cut', 'meat', 'piec']","['mujer', 'cortando', 'carn', 'pedazo']",4.8
"['man', 'rins', 'steak']","['hombr', 'enjuagando', 'filet']",0.6
"['man', 'sell', 'item']","['hombr', 'vendiendo', 'artículo']",0.8
"['man', 'jump', 'wall']","['hombr', 'saltando', 'muro']",3.2
"['runner', 'race', 'around', 'track']","['corredor', 'corren', 'alrededor', 'pista']",3.2
"['man', 'kick', 'soccer', 'ball']","['hombr', 'pateando', 'pelota', 'fútbol']",0.6
"['woman', 'fri', 'someth']","['mujer', 'friendo']",0.6
"['cat', 'lick', 'sucker']","['gato', 'lamiendo', 'tonto']",0.0
"['woman', 'danc', 'fire']","['mujer', 'bailando', 'junto', 'fuego']",1.4
"['man', 'slice', 'fish', 'open']","['hombr', 'abriendo', 'pescado', 'rodaja']",2.2
"['butter', 'melt', 'pan']","['mantequilla', 'derrit', 'sartén']",3.6
"['three', 'boy', 'danc']","['tre', 'chico', 'bailando']",3.111
"['woman', 'play', 'game', 'man']","['mujer', 'jugando', 'juego', 'hombr']",0.6
"['man', 'drive', 'white', 'car']","['hombr', 'conduciendo', 'coch', 'blanco']",0.4
"['man', 'drove', 'car']","['hombr', 'condujo', 'coch']",4.25
"['car', 'back', 'space']","['coch', 'retroced', 'espacio']",3.0
"['man', 'put', 'chees', 'pizza']","['hombr', 'pone', 'queso', 'pizza']",5.0
"['boy', 'play', 'piano']","['chico', 'tocando', 'piano']",5.0
"['man', 'play', 'guitar']","['hombr', 'tocaba', 'guitarra']",3.75
"['man', 'ride', 'hors']","['hombr', 'montando', 'caballo']",0.2
"['man', 'walk', 'rope']","['hombr', 'caminando', 'cuerda']",0.4
"['girl', 'play', 'flute']","['chica', 'tocando', 'flauta']",1.286
"['peopl', 'step', 'train']","['gent', 'baja', 'tren']",4.6
"['woman', 'sew', 'machin']","['mujer', 'cosiendo', 'máquina']",0.6
"['dog', 'look', 'swim', 'pool']","['perro', 'mirando', 'piscina']",2.0
"['man', 'butter', 'piec', 'bread']","['hombr', 'untando', 'mantequilla', 'pedazo', 'pan']",5.0
"['man', 'cut', 'tomato', 'piec']","['hombr', 'cortando', 'tomat', 'trozo']",1.8
"['three', 'teenag', 'girl', 'danc', 'room']","['tre', 'adolescent', 'bailaron', 'habitación']",2.4
"['lion', 'walk']","['león', 'caminando']",2.4
"['man', 'shoot', 'car']","['hombr', 'disparando', 'coch']",0.4
"['black', 'hors', 'run', 'around']","['caballo', 'negro', 'corriendo', 'ahí']",4.2
"['woman', 'devein', 'shrimp']","['mujer', 'desovando', 'camaron']",0.0
"['man', 'ride', 'hors']","['hombr', 'montando', 'caballo']",0.0
"['man', 'walk', 'path']","['hombr', 'camina', 'sendero']",0.8
"['man', 'slice', 'potato']","['hombr', 'cortando', 'patata']",1.4
"['dog', 'bark', 'ball']","['perro', 'ladrando', 'bail']",1.5
"['kid', 'run', 'away', 'fish', 'swing', 'around', 'fish', 'pole']","['niño', 'huy', 'pez', 'balancea', 'caña', 'pescar']",2.5
"['man', 'walk', 'along', 'path', 'wilder']","['hombr', 'caminando', 'sendero', 'travé', 'naturaleza']",2.5
"['elderli', 'man', 'speak', 'podium']","['anciano', 'hablando', 'podio']",3.5
"['man', 'ride', 'hors', 'slow', 'motion']","['hombr', 'montando', 'caballo', 'cámara', 'lenta']",3.4
"['person', 'cut', 'burrata', 'chees']","['persona', 'cortando', 'queso', 'burrata']",3.8
"['man', 'shoot', 'automat', 'rifl']","['hombr', 'disparando', 'rifl', 'automático']",3.8
"['man', 'crush', 'garlic', 'back', 'knife']","['hombr', 'aplastando', 'ajo', 'dorso', 'cuchillo']",1.5
"['woman', 'file', 'fingernail', 'emeri', 'board']","['mujer', 'limando', 'uña', 'lima', 'cartón']",0.5
"['man', 'ride', 'skateboard']","['hombr', 'montando', 'monopatín']",0.0
"['woman', 'take', 'shower']","['mujer', 'duchando']",0.0
"['man', 'danc']","['hombr', 'bailando']",0.8
"['man', 'row', 'boat']","['hombr', 'remando', 'bote']",0.85
"['man', 'swing', 'rope', 'attach', 'ceil']","['hombr', 'columpiando', 'cuerda', 'atada', 'techo']",3.4
"['woman', 'ride', 'hors', 'beach']","['mujer', 'montando', 'caballo', 'playa']",0.4
"['man', 'hold', 'small', 'anim', 'one', 'hand']","['hombr', 'sostien', 'pequeño', 'anim', 'mano']",1.75
"['person', 'fold', 'squar', 'paper', 'piec']","['persona', 'doblando', 'trozo', 'papel', 'cuadrado']",3.25
"['person', 'fri', 'meat', 'pan']","['persona', 'friendo', 'carn', 'sartén']",0.75
"['chimpanze', 'hurt', 'woman']","['chimpancé', 'lastimando', 'mujer']",0.0
"['woman', 'peel', 'shrimp']","['mujer', 'pelando', 'camaron']",0.0
"['two', 'zebra', 'play']","['do', 'cebra', 'jugando']",4.25
"['woman', 'slice', 'butter']","['mujer', 'cortando', 'mantequilla']",1.8
"['men', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",3.2
"['eleph', 'spray', 'water']","['elefant', 'rociaron', 'agua']",3.6
"['dog', 'sat', 'counter', 'store']","['perro', 'sentó', 'mostrador', 'tienda']",2.6
"['someon', 'drill', 'hole', 'strip', 'wood', 'power', 'drill']","['alguien', 'hace', 'agujero', 'tira', 'madera', 'taladro', 'eléctrico']",3.2
"['woman', 'slice', 'veget']","['mujer', 'cortando', 'verdura']",2.8
"['badger', 'burrow', 'hole']","['tejón', 'cavando', 'agujero']",4.6
"['woman', 'water', 'ski', 'lake']","['mujer', 'haciendo', 'esquí', 'acuático', 'lago']",0.0
"['girl', 'play', 'violin']","['chica', 'tocando', 'violín']",0.25
"['helicopt', 'land', 'helipad']","['helicóptero', 'aterrizando', 'helipuerto']",3.923
"['woman', 'cut', 'chicken']","['mujer', 'cortando', 'pollo']",2.75
"['woman', 'cut', 'cucumb']","['mujer', 'cortando', 'pepino']",0.0
"['woman', 'ride', 'eleph', 'front', 'ador', 'crowd']","['mujer', 'monta', 'elefant', 'frent', 'multitud', 'adora']",3.0
"['puppi', 'slide', 'backward', 'along', 'floor']","['cachorro', 'desliza', 'hacia', 'atrá', 'suelo']",3.8
"['woman', 'split', 'garlic', 'clove']","['mujer', 'part', 'dient', 'ajo']",4.6
"['dog', 'look', 'swim', 'pool']","['perro', 'mirando', 'piscina']",2.6
"['woman', 'mix', 'beauti', 'treatment', 'glass']","['mujer', 'mezcla', 'tratamiento', 'belleza', 'vaso']",3.6
"['man', 'draw', 'pictur']","['hombr', 'haciendo', 'dibujo']",3.6
"['woman', 'pick', 'tomato']","['mujer', 'recogiendo', 'tomat']",1.0
"['man', 'look', 'comput', 'monitor']","['hombr', 'mirando', 'monitor', 'ordenador']",2.75
"['boy', 'ride', 'tricycl']","['chico', 'montando', 'triciclo']",1.25
"['two', 'men', 'compet', 'tire', 'roll', 'race']","['do', 'hombr', 'compiten', 'carrera', 'neumático']",2.75
"['person', 'cut', 'meat']","['persona', 'cortando', 'carn']",0.0
"['man', 'play', 'violin']","['hombr', 'tocando', 'violín']",0.0
"['babi', 'crawl', 'doorway']","['bebé', 'gateó', 'puerta']",2.4
"['man', 'play', 'keyboard']","['hombr', 'tocando', 'teclado']",2.2
"['man', 'smell', 'two', 'pizza']","['hombr', 'oliendo', 'do', 'pizza']",0.2
"['monkey', 'pull', 'tail', 'dog']","['mono', 'tira', 'cola', 'perro']",2.8
"['dog', 'lie', 'back', 'wooden', 'floor']","['perro', 'acuesta', 'espalda', 'suelo', 'madera']",4.0
"['woman', 'fri', 'someth', 'pan']","['mujer', 'friendo', 'sartén']",0.0
"['man', 'put', 'season', 'bowl', 'water']","['hombr', 'pone', 'condimento', 'tazón', 'agua']",5.0
"['elderli', 'woman', 'pour', 'oil', 'fri', 'pan']","['anciana', 'echando', 'aceit', 'sartén']",0.0
"['woman', 'chop', 'onion']","['mujer', 'cortando', 'cebolla']",3.2
"['woman', 'pick', 'kangaroo']","['mujer', 'recogió', 'canguro']",3.5
"['dog', 'bite']","['perro', 'mordiendo', 'lata']",1.75
"['woman', 'debon', 'fish']","['mujer', 'deshuesando', 'pez']",1.25
"['man', 'mow', 'grass']","['hombr', 'cortando', 'hierba']",0.833
"['cat', 'watch', 'tv']","['gato', 'viendo', 'televisión']",0.0
"['boy', 'stuck', 'door', 'doghous']","['chico', 'atrapado', 'puerta', 'perrera']",3.75
"['peopl', 'flip', 'swim', 'pool']","['gent', 'tira', 'piscina']",2.75
"['woman', 'swim', 'underwat']","['mujer', 'bajo', 'agua']",3.8
"['man', 'play', 'guitar']","['hombr', 'tocando', 'guitarra']",0.2
"['airplan', 'fli', 'air']","['avión', 'volando', 'air']",3.4
"['bear', 'run', 'two', 'dog']","['oso', 'huyendo', 'do', 'perro']",1.4
"['woman', 'rest', 'float', 'raft']","['mujer', 'descansando', 'balsa', 'flotant']",3.8
"['man', 'die', 'oper', 'room']","['hombr', 'muriendo', 'quirófano']",0.4
