sentence1,sentence2,score
"['man', 'slice', 'bun']","['man', 'slice', 'onion']",2.4
"['man', 'pour', 'oil', 'pan']","['man', 'pour', 'oil', 'skillet']",4.2
"['lion', 'play', 'peopl']","['lion', 'play', 'two', 'men']",3.4
"['dog', 'ride', 'skateboard']","['dog', 'ride', 'skateboard']",5.0
"['someon', 'carv', 'statu']","['man', 'carv', 'statu']",3.75
"['woman', 'slice', 'onion']","['man', 'cut', 'onion']",2.75
"['woman', 'peel', 'shrimp']","['woman', 'peel', 'shrimp']",5.0
"['woman', 'fri', 'fish']","['woman', 'cook', 'fish']",4.0
"['woman', 'play', 'electr', 'guitar']","['woman', 'play', 'guitar']",3.6
"['babi', 'tiger', 'play', 'ball']","['babi', 'play', 'doll']",1.6
"['person', 'slice', 'tomato']","['person', 'slice', 'meat']",1.75
"['person', 'cut', 'onion']","['person', 'cut', 'onion']",5.0
"['man', 'play', 'piano']","['woman', 'play', 'violin']",1.0
"['woman', 'play', 'flute']","['man', 'play', 'guitar']",1.0
"['man', 'cut', 'potato']","['man', 'cut', 'carrot']",2.375
"['kid', 'play', 'guitar']","['boy', 'play', 'guitar']",3.8
"['boy', 'play', 'guitar']","['man', 'play', 'guitar']",3.2
"['man', 'play', 'guitar']","['boy', 'play', 'guitar']",3.2
"['littl', 'boy', 'play', 'keyboard']","['boy', 'play', 'key', 'board']",4.4
"['man', 'play', 'guitar']","['man', 'play', 'electr', 'guitar']",3.75
"['dog', 'lick', 'babi']","['dog', 'lick', 'babi']",4.75
"['woman', 'slice', 'onion']","['man', 'cut', 'onion']",3.2
"['man', 'play', 'guitar']","['man', 'play', 'drum']",1.556
"['woman', 'slice', 'pepper']","['woman', 'cut', 'red', 'pepper']",3.938
"['man', 'play', 'drum']","['man', 'play', 'drum']",5.0
"['woman', 'ride', 'hors']","['woman', 'ride', 'hors']",5.0
"['man', 'eat', 'banana', 'tree']","['man', 'eat', 'banana']",4.0
"['cat', 'play', 'key', 'board']","['man', 'play', 'two', 'keyboard']",1.6
"['man', 'chop', 'tree', 'axe']","['man', 'cut', 'tree', 'axe']",4.75
"['kid', 'play', 'toy', 'phone']","['littl', 'boy', 'play', 'toy', 'phone']",3.5
"['man', 'ride', 'motorcycl']","['man', 'ride', 'hors']",1.4
"['man', 'ride', 'motorcycl']","['man', 'ride', 'hors']",1.4
"['squirrel', 'spin', 'around', 'circl']","['squirrel', 'run', 'around', 'circl']",4.0
"['man', 'woman', 'kiss']","['man', 'woman', 'kiss']",5.0
"['man', 'get', 'car']","['man', 'get', 'car', 'garag']",3.833
"['man', 'danc']","['man', 'talk']",0.6000000000000001
"['man', 'play', 'guitar', 'sing']","['man', 'play', 'guitar']",2.917
"['person', 'cut', 'mushroom']","['person', 'cut', 'mushroom', 'knife']",4.2
"['tiger', 'cub', 'make', 'sound']","['tiger', 'walk', 'around']",2.0
"['person', 'slice', 'onion']","['person', 'peel', 'onion']",2.6
"['man', 'play', 'piano']","['man', 'play', 'trumpet']",1.6
"['woman', 'peel', 'potato']","['woman', 'peel', 'appl']",2.0
"['pankda', 'eat', 'bamboo']","['panda', 'bear', 'eat', 'bamboo']",4.2
"['person', 'peel', 'onion']","['person', 'peel', 'eggplant']",2.0
"['monkey', 'push', 'anoth', 'monkey']","['monkey', 'push', 'monkey']",4.8
"['squirrel', 'run', 'around', 'circl']","['squirrel', 'move', 'circl']",4.4
"['man', 'tie', 'shoe']","['man', 'tie', 'shoe']",5.0
"['boy', 'sing', 'play', 'piano']","['boy', 'play', 'piano']",3.0
"['dog', 'eat', 'water', 'melon']","['dog', 'eat', 'piec', 'watermelon']",4.25
"['woman', 'chop', 'broccoli']","['woman', 'chop', 'broccoli', 'knife']",4.25
"['man', 'peel', 'potato']","['man', 'peel', 'potato']",3.8
"['woman', 'play', 'guitar']","['man', 'play', 'guitar']",2.4
"['woman', 'slice', 'tomato']","['man', 'slice', 'onion']",1.6
"['man', 'swim', 'underwat']","['woman', 'swim', 'underwat']",2.0
"['man', 'woman', 'talk']","['man', 'woman', 'eat']",1.6
"['small', 'dog', 'chase', 'yoga', 'ball']","['dog', 'chase', 'ball']",4.0
"['men', 'play', 'cricket']","['men', 'play', 'basketbal']",2.2
"['man', 'ride', 'motorcycl']","['man', 'ride', 'motorcycl']",4.4
"['man', 'play', 'guitar']","['man', 'sing', 'play', 'guitar']",3.6
"['man', 'talk', 'telephon']","['man', 'talk', 'phone']",3.6
"['man', 'fish']","['man', 'exercis']",0.5
"['man', 'levit']","['man', 'talk']",0.8
"['two', 'boy', 'drive']","['two', 'bay', 'danc']",0.6000000000000001
"['man', 'ride', 'hors']","['girl', 'ride', 'hors']",2.6
"['man', 'ride', 'bicycl']","['monkey', 'ride', 'bike']",2.0
"['man', 'slice', 'potato']","['woman', 'peel', 'potato']",2.2
"['woman', 'peel', 'potato']","['man', 'slice', 'potato']",2.4
"['man', 'play', 'guitar']","['someoen', 'play', 'guitar']",3.6
"['woman', 'slice', 'leek']","['woman', 'slice', 'ginger']",2.2
"['man', 'cut', 'paper', 'plate']","['man', 'cut', 'paper', 'plate']",4.8
"['man', 'play', 'guitar']","['man', 'play', 'flute']",1.643
"['man', 'play', 'piano']","['man', 'play', 'violin']",1.75
"['woman', 'slice', 'meat']","['woman', 'bread', 'meat']",2.25
"['man', 'play', 'keyboard']","['man', 'play', 'keyboard', 'piano']",4.0
"['ladi', 'chop', 'green', 'onion']","['ladi', 'cut', 'green', 'onion']",4.8
"['someon', 'sitr', 'noodl', 'water']","['woman', 'boil', 'noodl', 'water']",3.2
"['lionel', 'richi', 'danc', 'ceil']","['lionel', 'ritchi', 'danc', 'stand', 'ceil']",4.0
"['man', 'play', 'piano']","['person', 'play', 'piano']",4.4
"['woman', 'play', 'flute']","['woman', 'play', 'flute']",4.6
"['boy', 'check', 'calend']","['boy', 'look', 'calendar']",3.8
"['woman', 'cut', 'onion']","['woman', 'chop', 'onion']",4.8
"['man', 'play', 'guitar']","['man', 'play', 'guitar']",4.857
"['woman', 'use', 'sew', 'machin']","['woman', 'sew', 'machin']",5.0
"['woman', 'flip', 'pancak']","['cartoon', 'chef', 'flip', 'pancak']",2.533
"['man', 'run', 'road']","['car', 'drive', 'road']",1.0
"['man', 'ride', 'hors']","['man', 'talk', 'phone']",1.0
"['man', 'ride', 'bike']","['man', 'ride', 'hors']",2.0
"['woman', 'danc']","['man', 'eat']",0.14300000000000002
"['man', 'play', 'piano']","['man', 'play', 'flute']",2.0
"['man', 'play', 'flute']","['man', 'play', 'piano']",1.6
"['man', 'spin']","['man', 'danc']",1.6
"['monkey', 'swing', 'limb', 'limb']","['monkey', 'swing', 'tree', 'tree']",3.4
"['peopl', 'got', 'train']","['peopl', 'got', 'train', 'station']",4.0
"['dog', 'jump', 'trampolin']","['dog', 'bounc', 'trampolin']",4.8
"['boy', 'play', 'instrument']","['man', 'play', 'trumpet']",2.5
"['woman', 'play', 'guitar']","['man', 'sing', 'play', 'guitar']",1.75
"['woman', 'pick']","['woman', 'slice', 'tomato']",1.0
"['man', 'climb', 'rope']","['man', 'climb', 'rope']",5.0
"['man', 'lift', 'car']","['man', 'climb', 'wall']",1.4
"['man', 'woman', 'drive', 'street', 'jeep']","['man', 'woman', 'drive', 'road', 'open', 'air', 'vehicl']",4.0
"['shirtless', 'man', 'sat', 'chair']","['shirtless', 'man', 'sit', 'chair']",3.8
"['two', 'woman', 'wrestl']","['two', 'woman', 'wrestl', 'floor']",4.0
"['puppi', 'play', 'blue', 'tenni', 'ball']","['puppi', 'play', 'tenni', 'ball']",4.0
"['kangroo', 'eat', 'someth']","['kangaroo', 'eat']",4.8
"['cat', 'play', 'piano']","['man', 'play', 'guitar']",0.6000000000000001
"['man', 'cut', 'carpet', 'knife']","['man', 'cut', 'carpet', 'knife']",4.75
"['woman', 'ride', 'motor', 'scooter', 'road']","['man', 'ride', 'motor', 'scooter']",2.2
"['someon', 'slice', 'veget']","['someon', 'slice', 'tomato']",3.0
"['woman', 'danc']","['man', 'talk']",0.0
"['dog', 'lick', 'babi', 'drool']","['dog', 'lick', 'babi']",2.2
"['man', 'row', 'boat']","['man', 'slice', 'tomato']",0.4
"['man', 'cut', 'potato']","['man', 'slice', 'potato']",4.8
"['woman', 'chop', 'garlic']","['woman', 'dice', 'garlic']",4.8
"['anim', 'run', 'circl']","['squirrel', 'run', 'circl']",3.8
"['man', 'walk', 'slowli', 'across', 'rope', 'bridg']","['boy', 'walk', 'across', 'bridg']",3.0
"['man', 'play', 'guitar']","['man', 'seat', 'room', 'play', 'guitar']",4.0
"['man', 'play', 'flute']","['man', 'play', 'flute']",5.0
"['woman', 'crack', 'two', 'egg', 'glass', 'bowl']","['woman', 'crack', 'egg', 'bowl']",3.8
"['man', 'cut', 'fish']","['man', 'gut', 'fish']",3.0
"['two', 'men', 'pack', 'suitcas', 'trunk', 'car']","['men', 'put', 'suitcas', 'car', 'trunk']",4.4
"['man', 'pour', 'oil', 'tomato']","['man', 'pour', 'oil', 'cut', 'tomato']",3.8
"['man', 'slice', 'someth']","['man', 'slice', 'bun']",3.0
"['man', 'paddl', 'cano']","['man', 'play', 'harp']",0.667
"['man', 'woman', 'walk', 'togeth', 'wood']","['man', 'woman', 'walk', 'arm', 'arm', 'wood', 'area']",4.0
"['woman', 'pick', 'kangaroo']","['woman', 'pick', 'babi', 'kangaroo']",3.75
"['fish', 'swim']","['fish', 'swim']",4.133
"['two', 'woman', 'mix', 'someth', 'food', 'processor']","['two', 'woman', 'make', 'someth', 'blender']",4.0
"['person', 'surf', 'larg', 'wave']","['person', 'surf']",3.6
"['man', 'play', 'guitar']","['man', 'stab', 'target']",1.2
"['man', 'play', 'flute', 'band']","['man', 'play', 'guitar']",1.6
"['man', 'spread', 'butter', 'loaf', 'bread']","['man', 'spread', 'butter', 'onto', 'bread']",4.0
"['person', 'boil', 'noodl']","['woman', 'boil', 'noodl', 'water']",4.0
"['group', 'peopl', 'danc', 'hill']","['group', 'peopl', 'danc']",3.2
"['man', 'danc', 'outsid']","['man', 'play', 'flute']",1.0
"['woman', 'feed', 'man']","['woman', 'mix', 'meat']",1.0
"['man', 'put', 'pan', 'oven']","['woman', 'cut', 'onion']",0.6000000000000001
"['woman', 'sit', 'desk']","['woman', 'ride', 'donkey']",0.4
"['medic', 'transport', 'patient', 'stretcher']","['doctor', 'rush', 'patient', 'stretcher']",3.4
"['woman', 'play', 'flute', 'stage']","['woman', 'play', 'flute']",3.6
"['two', 'babi', 'panda', 'play']","['two', 'panda', 'lay', 'togeth']",3.0
"['babi', 'laugh']","['babi', 'laugh', 'giggl']",4.0
"['man', 'play', 'guitar']","['boy', 'play', 'piano']",1.2
"['man', 'fold', 'paper']","['woman', 'slice', 'pepper']",0.6000000000000001
"['three', 'woman', 'danc']","['man', 'danc']",1.6
"['cat', 'play']","['two', 'cat', 'fight']",2.6
"['person', 'write']","['person', 'write', 'pencil']",3.6
"['man', 'run']","['man', 'run', 'road']",3.5
"['woman', 'roll', 'dough']","['woman', 'flour', 'roll', 'dough']",3.765
"['woman', 'ad', 'spice', 'meat']","['woman', 'ad', 'sugar', 'meat']",2.75
"['woman', 'ad', 'oil', 'fish']","['woman', 'pour', 'water', 'fish']",2.25
"['young', 'boy', 'hold', 'guitar']","['littl', 'boy', 'play', 'guitar']",2.75
"['cheetah', 'run']","['cheetah', 'run', 'across', 'field']",3.8
"['man', 'eat', 'pizza']","['man', 'eat', 'slice', 'pizza']",4.8
"['orangutan', 'ride', 'bu']","['monkey', 'ride', 'bu']",3.6
"['man', 'woman', 'talk', 'diner']","['man', 'woman', 'ride', 'bicycl']",1.2
"['man', 'play', 'guitar']","['man', 'clean', 'glass', 'door']",0.4
"['girl', 'sing', 'play', 'guitar']","['young', 'man', 'sing', 'play', 'guitar']",2.4
"['girl', 'commun', 'sign', 'languag']","['young', 'girl', 'use', 'sign', 'languag']",3.941
"['woman', 'weight', 'exercis']","['woman', 'hair']",0.5
"['man', 'get', 'insid', 'car']","['elderli', 'man', 'get', 'red', 'car']",3.75
"['big', 'green', 'ball', 'knock', 'potato']","['larg', 'green', 'ball', 'hit', 'potato']",4.0
"['cat', 'play', 'keyboard']","['cat', 'play', 'piano']",3.0
"['two', 'dog', 'swim', 'pool']","['dog', 'swim', 'pool']",4.2
"['man', 'use', 'chopper', 'chop', 'onion']","['man', 'use', 'machin', 'chop', 'potato']",2.0
"['woman', 'slice', 'tofu']","['woman', 'cut', 'tofu']",5.0
"['herd', 'deer', 'cross', 'street']","['herd', 'carib', 'cross', 'road']",3.0
"['person', 'ride', 'hors']","['man', 'ride', 'hors']",3.8
"['someon', 'feed', 'anim']","['someon', 'play', 'piano']",0.0
"['someon', 'slice', 'tortila']","['someon', 'ride', 'hors']",0.0
"['someon', 'mix', 'ingredi']","['someon', 'sew', 'thing']",0.25
"['rooster', 'peck', 'dead', 'mous']","['chicken', 'peck', 'dead', 'mous']",4.0
"['woman', 'hold', 'kangaroo']","['woman', 'pick', 'kangaroo']",3.25
"['man', 'play', 'frog']","['cat', 'play', 'camera']",0.75
"['two', 'men', 'talk']","['two', 'men', 'play', 'guitar']",1.5
"['man', 'spread', 'butter', 'big', 'piec', 'bread']","['man', 'smear', 'butter', 'slice', 'garlic', 'bread']",3.5
"['man', 'run', 'across', 'high', 'wire']","['man', 'run', 'rope']",3.0
"['man', 'mow', 'lawn']","['woman', 'cut', 'lemon']",0.2
"['man', 'open', 'door']","['man', 'play', 'guitar']",0.8
"['man', 'slice', 'potato', 'piec']","['man', 'cut', 'potato']",4.2
"['woman', 'cut', 'cook', 'octopu']","['woman', 'chop', 'octopu']",3.8
"['man', 'punch', 'board']","['dog', 'run', 'water']",0.4
"['man', 'danc']","['man', 'eat', 'bread']",0.8
"['someon', 'play', 'piano']","['man', 'play', 'guitar']",1.2
"['two', 'fox', 'eat', 'plate', 'brick', 'patio']","['fox', 'eat', 'plate']",2.8
"['boy', 'play', 'keyboard']","['boy', 'play', 'piano']",3.2
"['person', 'play', 'keyboard']","['someon', 'play', 'keyboard']",5.0
"['man', 'shoot', 'gun']","['man', 'spit']",0.0
"['someon', 'slice', 'onion']","['someoen', 'peel', 'potato']",1.0
"['man', 'swim']","['woman', 'slice', 'meat']",0.0
"['man', 'play', 'guitar']","['man', 'play', 'acoust', 'guitar']",3.75
"['woman', 'slice', 'pumpkin']","['woman', 'ride', 'eleph']",0.4
"['woman', 'danc']","['woman', 'knead', 'dough']",0.4
"['woman', 'crack', 'egg', 'bowl']","['woman', 'place', 'skewer', 'onto', 'rack']",0.6000000000000001
"['car', 'move', 'road']","['car', 'drive', 'road']",4.0
"['someon', 'greas', 'pan']","['smeon', 'lay']",0.4
"['man', 'play', 'guitar']","['man', 'drain', 'pasta']",0.4
"['woman', 'drink', 'vodka']","['woman', 'exercis']",0.4
"['woman', 'cut', 'meat', 'piec']","['woman', 'cut', 'meat']",4.8
"['man', 'rins', 'steak']","['man', 'play', 'guitar']",0.6000000000000001
"['man', 'sell', 'item']","['man', 'clean', 'hous']",0.8
"['man', 'jump', 'wall']","['man', 'jump', 'onto', 'short', 'wall']",3.2
"['runner', 'race', 'around', 'track']","['runner', 'compet', 'race']",3.2
"['man', 'kick', 'soccer', 'ball']","['man', 'mix', 'bowl']",0.6000000000000001
"['woman', 'fri', 'someth']","['woman', 'ride', 'hors']",0.6000000000000001
"['cat', 'lick', 'sucker']","['woman', 'slice', 'cucumb']",0.0
"['woman', 'danc', 'fire']","['woman', 'take', 'bath']",1.4
"['man', 'slice', 'fish', 'open']","['man', 'slice', 'potato']",2.2
"['butter', 'melt', 'pan']","['man', 'melt', 'butter', 'pan']",3.6
"['three', 'boy', 'danc']","['kid', 'danc']",3.111
"['woman', 'play', 'game', 'man']","['man', 'play', 'piano']",0.6000000000000001
"['man', 'drive', 'white', 'car']","['man', 'give', 'interview']",0.4
"['man', 'drove', 'car']","['man', 'drive', 'car']",4.25
"['car', 'back', 'space']","['car', 'back', 'block', 'lane']",3.0
"['man', 'put', 'chees', 'pizza']","['man', 'sprinkl', 'chees', 'pizza']",5.0
"['boy', 'play', 'piano']","['boy', 'play', 'piano']",5.0
"['man', 'play', 'guitar']","['man', 'play', 'guitar']",3.75
"['man', 'ride', 'hors']","['man', 'play', 'keyboard']",0.2
"['man', 'walk', 'rope']","['man', 'ride', 'mopad']",0.4
"['girl', 'play', 'flute']","['band', 'play', 'stage']",1.286
"['peopl', 'step', 'train']","['group', 'peopl', 'get', 'train']",4.6
"['woman', 'sew', 'machin']","['woman', 'bread', 'meat']",0.6000000000000001
"['dog', 'look', 'swim', 'pool']","['dog', 'walk', 'around', 'pool']",2.0
"['man', 'butter', 'piec', 'bread']","['man', 'appli', 'butter', 'bread']",5.0
"['man', 'cut', 'tomato', 'piec']","['woman', 'cut', 'veget']",1.8
"['three', 'teenag', 'girl', 'danc', 'room']","['teenag', 'girl', 'danc', 'camera']",2.4
"['lion', 'walk']","['lion', 'pace', 'pen']",2.4
"['man', 'shoot', 'car']","['man', 'cut', 'potato']",0.4
"['black', 'hors', 'run', 'around']","['hors', 'run']",4.2
"['woman', 'devein', 'shrimp']","['man', 'danc', 'rain']",0.0
"['man', 'ride', 'hors']","['woman', 'wash', 'freezer']",0.0
"['man', 'walk', 'path']","['man', 'walk', 'across', 'tight', 'rope']",0.8
"['man', 'slice', 'potato']","['woman', 'cut', 'jalepeno']",1.4
"['dog', 'bark', 'ball']","['dog', 'swim', 'tenni', 'ball']",1.5
"['kid', 'run', 'away', 'fish', 'swing', 'around', 'fish', 'pole']","['littl', 'kid', 'run', 'around', 'fish', 'pole']",2.5
"['man', 'walk', 'along', 'path', 'wilder']","['man', 'walk', 'road']",2.5
"['elderli', 'man', 'speak', 'podium']","['man', 'make', 'speech', 'podium']",3.5
"['man', 'ride', 'hors', 'slow', 'motion']","['man', 'ride', 'hors']",3.4
"['person', 'cut', 'burrata', 'chees']","['person', 'slice', 'chees']",3.8
"['man', 'shoot', 'automat', 'rifl']","['man', 'shoot', 'gun']",3.8
"['man', 'crush', 'garlic', 'back', 'knife']","['woman', 'slice', 'meat', 'knife']",1.5
"['woman', 'file', 'fingernail', 'emeri', 'board']","['woman', 'feed', 'babi', 'bottl']",0.5
"['man', 'ride', 'skateboard']","['woman', 'cut', 'potato']",0.0
"['woman', 'take', 'shower']","['man', 'ride', 'white', 'hors']",0.0
"['man', 'danc']","['man', 'ride', 'hors']",0.8
"['man', 'row', 'boat']","['man', 'shoot', 'gun']",0.85
"['man', 'swing', 'rope', 'attach', 'ceil']","['man', 'swing', 'rope']",3.4
"['woman', 'ride', 'hors', 'beach']","['man', 'carri', 'anoth', 'man', 'back']",0.4
"['man', 'hold', 'small', 'anim', 'one', 'hand']","['man', 'show', 'small', 'monkey']",1.75
"['person', 'fold', 'squar', 'paper', 'piec']","['man', 'fold', 'paper']",3.25
"['person', 'fri', 'meat', 'pan']","['person', 'hold', 'skunk']",0.75
"['chimpanze', 'hurt', 'woman']","['man', 'drive', 'car']",0.0
"['woman', 'peel', 'shrimp']","['man', 'hold', 'lemur']",0.0
"['two', 'zebra', 'play']","['zebra', 'social']",4.25
"['woman', 'slice', 'butter']","['woman', 'slice', 'tofu']",1.8
"['men', 'play', 'guitar']","['three', 'men', 'play', 'guitar', 'sing', 'togeth']",3.2
"['eleph', 'spray', 'water']","['eleph', 'spray', 'water']",3.6
"['dog', 'sat', 'counter', 'store']","['dog', 'stand', 'counter']",2.6
"['someon', 'drill', 'hole', 'strip', 'wood', 'power', 'drill']","['man', 'drill', 'hole', 'piec', 'wood']",3.2
"['woman', 'slice', 'veget']","['woman', 'dice', 'garlic']",2.8
"['badger', 'burrow', 'hole']","['badger', 'dig', 'earth']",4.6
"['woman', 'water', 'ski', 'lake']","['man', 'play', 'flute']",0.0
"['girl', 'play', 'violin']","['babi', 'laugh', 'giggl']",0.25
"['helicopt', 'land', 'helipad']","['helicopt', 'land']",3.923
"['woman', 'cut', 'chicken']","['woman', 'slice', 'meat']",2.75
"['woman', 'cut', 'cucumb']","['man', 'play', 'guitar']",0.0
"['woman', 'ride', 'eleph', 'front', 'ador', 'crowd']","['woman', 'ride', 'eleph']",3.0
"['puppi', 'slide', 'backward', 'along', 'floor']","['puppi', 'push', 'backward']",3.8
"['woman', 'split', 'garlic', 'clove']","['woman', 'break', 'head', 'garlic', 'clove']",4.6
"['dog', 'look', 'swim', 'pool']","['dog', 'walk', 'along', 'edg', 'pool']",2.6
"['woman', 'mix', 'beauti', 'treatment', 'glass']","['woman', 'mix', 'cream', 'glass', 'spoon']",3.6
"['man', 'draw', 'pictur']","['person', 'draw']",3.6
"['woman', 'pick', 'tomato']","['woman', 'pour', 'batter', 'bowl']",1.0
"['man', 'look', 'comput', 'monitor']","['man', 'use', 'laptop']",2.75
"['boy', 'ride', 'tricycl']","['woman', 'ride', 'water', 'scooter']",1.25
"['two', 'men', 'compet', 'tire', 'roll', 'race']","['two', 'peopl', 'flip', 'tractor', 'tire', 'race']",2.75
"['person', 'cut', 'meat']","['person', 'ride', 'mechan', 'bull']",0.0
"['man', 'play', 'violin']","['woman', 'use', 'sew', 'machin']",0.0
"['babi', 'crawl', 'doorway']","['babi', 'crawl', 'across', 'floor']",2.4
"['man', 'play', 'keyboard']","['person', 'play', 'piano']",2.2
"['man', 'smell', 'two', 'pizza']","['woman', 'feed', 'man']",0.2
"['monkey', 'pull', 'tail', 'dog']","['monkey', 'teas', 'dog', 'zoo']",2.8
"['dog', 'lie', 'back', 'wooden', 'floor']","['dog', 'lay', 'floor']",4.0
"['woman', 'fri', 'someth', 'pan']","['man', 'play', 'guitar']",0.0
"['man', 'put', 'season', 'bowl', 'water']","['man', 'ad', 'season', 'water', 'bowl']",5.0
"['elderli', 'woman', 'pour', 'oil', 'fri', 'pan']","['tie', 'man', 'put', 'water']",0.0
"['woman', 'chop', 'onion']","['woman', 'slice', 'partial', 'half', 'onion']",3.2
"['woman', 'pick', 'kangaroo']","['woman', 'carri', 'kangaroo']",3.5
"['dog', 'bite']","['dog', 'open', 'food']",1.75
"['woman', 'debon', 'fish']","['man', 'catch', 'fish']",1.25
"['man', 'mow', 'grass']","['man', 'bust', 'concret']",0.833
"['cat', 'watch', 'tv']","['man', 'slice', 'leav']",0.0
"['boy', 'stuck', 'door', 'doghous']","['child', 'stuck', 'dog', 'hous']",3.75
"['peopl', 'flip', 'swim', 'pool']","['men', 'fall', 'pool']",2.75
"['woman', 'swim', 'underwat']","['woman', 'swim']",3.8
"['man', 'play', 'guitar']","['woman', 'danc']",0.2
"['airplan', 'fli', 'air']","['south', 'african', 'airway', 'plane', 'fli', 'blue', 'sky']",3.4
"['bear', 'run', 'two', 'dog']","['bear', 'fight', 'wolf']",1.4
"['woman', 'rest', 'float', 'raft']","['woman', 'relax', 'inner', 'tube']",3.8
"['man', 'die', 'oper', 'room']","['man', 'kiss', 'woman', 'stage']",0.4
"['man', 'hold', 'leaf']","['woman', 'watch', 'televis']",0.0
"['person', 'ride', 'hors']","['woman', 'slice', 'potato']",0.0
"['woman', 'slice', 'octopu']","['man', 'play', 'guitar']",0.0
"['man', 'break', 'water', 'jug']","['woman', 'peel', 'garlic']",0.2
"['man', 'play', 'guitar']","['woman', 'cut', 'veget']",0.0
"['girl', 'eat', 'cupcak']","['man', 'slice', 'cucumb']",0.0
"['littl', 'girl', 'play', 'grass', 'dog', 'ball']","['babi', 'play', 'dog', 'ball']",3.8
"['peopl', 'ride', 'paddl', 'raft']","['four', 'peopl', 'float', 'raft']",2.25
"['ladi', 'cut', 'potato']","['man', 'cut', 'potato']",2.4
"['missil', 'explod']","['rocket', 'explod']",3.2
"['dog', 'play', 'snow']","['dog', 'paw', 'fli', 'carpet']",1.6
"['woman', 'danc', 'woman']","['woman', 'shred', 'chicken']",0.4
"['boy', 'push', 'van']","['person', 'slice', 'tomato']",0.0
"['boy', 'make', 'danc', 'step']","['boy', 'pour', 'someth', 'pitcher']",0.4
"['woman', 'open', 'soda', 'drink']","['woman', 'ride', 'eleph']",0.6000000000000001
"['man', 'assembl', 'speaker', 'part']","['man', 'play', 'guitar']",1.0
"['dog', 'walk', 'along', 'edg', 'pool']","['dog', 'walk', 'along', 'pool']",4.6
"['butter', 'put', 'bowl']","['man', 'cut', 'butter', 'mix', 'bowl']",4.25
"['raccoon', 'eat']","['man', 'eat']",1.5
"['someon', 'fell', 'hors']","['man', 'get', 'knock', 'hors']",3.5
"['woman', 'peel', 'appl']","['man', 'pop', 'wheeli', 'motorcycl']",0.0
"['man', 'take', 'math', 'class']","['man', 'rins', 'steak']",0.0
"['anim', 'play', 'water']","['two', 'men', 'play', 'ping', 'pong']",0.0
"['man', 'ride', 'hors', 'jump', 'obstacl']","['man', 'kick', 'soccer', 'ball']",0.333
"['person', 'pencil', 'trick', 'hand']","['person', 'slice', 'carrot', 'half']",0.333
"['person', 'lit', 'camera', 'fire']","['person', 'blow', 'torch', 'camera']",3.333
"['man', 'slice', 'tape', 'box']","['man', 'cut', 'open', 'box']",4.333
"['man', 'fish', 'river']","['man', 'sing', 'walk', 'sidewalk']",0.8
